CBSA,new_housing_units_permitted,year
37460,309,2010
37620,159,2010
37700,329,2010
37860,1754,2010
37900,793,2010
37980,7053,2010
38060,8300,2010
38220,126,2010
38300,3615,2010
38340,139,2010
38540,149,2010
38940,492,2010
38860,1260,2010
38900,4476,2010
39100,1343,2010
39140,339,2010
39300,1439,2010
39340,1985,2010
39380,234,2010
39460,425,2010
39540,240,2010
39580,5213,2010
39660,642,2010
39740,415,2010
39820,253,2010
39900,606,2010
40060,3456,2010
40140,6336,2010
40220,436,2010
40340,477,2010
40380,1449,2010
40420,299,2010
40580,212,2010
40660,55,2010
40900,2702,2010
40980,137,2010
41420,699,2010
41500,279,2010
41540,194,2010
41620,2989,2010
41660,177,2010
41700,6865,2010
41740,3494,2010
41860,4621,2010
41940,4179,2010
42020,468,2010
41780,47,2010
42060,400,2010
42100,158,2010
42140,96,2010
42220,477,2010
42340,1301,2010
42540,687,2010
42660,10040,2010
42680,307,2010
43100,69,2010
43300,327,2010
43340,1300,2010
43580,275,2010
43620,1081,2010
43780,383,2010
43900,562,2010
44060,1609,2010
44100,399,2010
44140,633,2010
44180,1338,2010
44220,57,2010
41060,314,2010
41100,893,2010
41140,131,2010
41180,5660,2010
44300,426,2010
44600,25,2010
44700,813,2010
44940,353,2010
45060,1139,2010
45220,625,2010
45300,6501,2010
45460,189,2010
45500,237,2010
45780,775,2010
45820,381,2010
45940,655,2010
46060,1938,2010
46140,2616,2010
46220,623,2010
46340,266,2010
46540,314,2010
46660,852,2010
46700,467,2010
47020,103,2010
47220,246,2010
47260,3966,2010
47300,1367,2010
47380,602,2010
47580,646,2010
47900,13065,2010
47940,391,2010
48140,262,2010
48300,320,2010
48540,38,2010
48660,187,2010
48620,1259,2010
48700,207,2010
48900,1830,2010
49020,346,2010
49180,1201,2010
49340,1391,2010
49420,624,2010
49620,1059,2010
49660,325,2010
49700,150,2010
49740,455,2010
10180,159,2011
10420,1122,2011
10500,206,2011
10580,1764,2011
10740,1634,2011
10780,376,2011
10900,1133,2011
11020,75,2011
11100,703,2011
11180,457,2011
11260,524,2011
11300,75,2011
11340,280,2011
11460,477,2011
11500,83,2011
11540,648,2011
11700,1001,2011
12020,327,2011
12060,8634,2011
12100,390,2011
12220,957,2011
12260,2385,2011
12420,10239,2011
12540,969,2011
12580,6153,2011
12620,369,2011
12700,404,2011
12940,3135,2011
12980,49,2011
13020,91,2011
13140,1179,2011
13380,605,2011
13460,459,2011
13740,272,2011
13780,117,2011
13820,2362,2011
13900,844,2011
13980,330,2011
14020,236,2011
14060,620,2011
14260,1840,2011
14460,6139,2011
14500,661,2011
14540,843,2011
14740,540,2011
14860,937,2011
15180,1136,2011
15260,396,2011
15380,1315,2011
15500,556,2011
15540,681,2011
15940,256,2011
15980,1587,2011
16020,122,2011
16180,13,2011
16220,402,2011
16300,731,2011
16580,518,2011
16620,295,2011
16700,3822,2011
16740,6446,2011
16820,1008,2011
16860,1331,2011
16940,279,2011
16980,7593,2011
17020,240,2011
17140,3369,2011
17300,2001,2011
17420,376,2011
17460,1767,2011
17660,623,2011
17780,1444,2011
17820,2275,2011
17860,1052,2011
17900,2897,2011
17980,1060,2011
18020,178,2011
18140,4730,2011
18580,1142,2011
18700,364,2011
18880,749,2011
19060,118,2011
19100,24827,2011
19140,63,2011
19180,12,2011
19260,142,2011
19340,635,2011
19380,752,2011
19460,103,2011
19500,84,2011
19660,1024,2011
19740,6673,2011
19780,2640,2011
19820,3366,2011
20020,288,2011
20100,680,2011
20220,410,2011
20260,444,2011
20500,1924,2011
20740,364,2011
20940,257,2011
21340,4153,2011
21060,714,2011
21140,146,2011
21300,138,2011
21500,311,2011
21660,670,2011
21780,559,2011
21820,39,2011
22020,1536,2011
22140,213,2011
22180,2807,2011
22220,1206,2011
22380,100,2011
22420,66,2011
22500,389,2011
22520,240,2011
22540,237,2011
22660,1192,2011
22900,590,2011
23060,743,2011
23420,1622,2011
23460,99,2011
23540,464,2011
23580,228,2011
24020,242,2011
24140,205,2011
24220,391,2011
24300,359,2011
24340,900,2011
24500,144,2011
24540,889,2011
24580,880,2011
24660,2047,2011
24780,345,2011
24860,1749,2011
25060,1669,2011
25180,529,2011
25260,222,2011
25420,1113,2011
25500,248,2011
25540,1123,2011
25620,64,2011
25860,380,2011
25980,201,2011
26100,611,2011
26180,1724,2011
26300,37,2011
26380,390,2011
26420,31271,2011
26580,269,2011
26620,2019,2011
26820,272,2011
26900,5259,2011
26980,762,2011
27060,153,2011
27100,57,2011
27140,1360,2011
27180,174,2011
27260,3911,2011
27340,2031,2011
27500,99,2011
27620,211,2011
27740,399,2011
27780,62,2011
27860,765,2011
27900,310,2011
28020,351,2011
28100,62,2011
28140,3287,2011
28420,1697,2011
28660,2208,2011
28700,385,2011
28740,230,2011
28940,1180,2011
29020,39,2011
29100,300,2011
29140,1244,2011
29180,859,2011
29340,1195,2011
29420,196,2011
29460,1156,2011
29540,1204,2011
29620,416,2011
29700,956,2011
29740,644,2011
29820,5147,2011
29940,490,2011
30020,280,2011
30140,175,2011
30300,65,2011
30340,148,2011
30460,1501,2011
30620,51,2011
30700,1059,2011
30780,3230,2011
30860,542,2011
30980,477,2011
31020,113,2011
31100,14247,2011
31140,2397,2011
31180,1507,2011
31340,529,2011
31420,396,2011
31460,291,2011
31540,1443,2011
31700,702,2011
31740,767,2011
31860,281,2011
31900,42,2011
32580,3105,2011
32780,362,2011
32820,2210,2011
32900,157,2011
33100,7532,2011
33140,143,2011
33260,539,2011
33340,1578,2011
33460,5148,2011
33540,563,2011
33660,1541,2011
33700,164,2011
33740,405,2011
33780,110,2011
33860,972,2011
34060,399,2011
34100,134,2011
34580,179,2011
34620,82,2011
34740,95,2011
34820,1776,2011
34900,154,2011
34940,1320,2011
34980,5394,2011
35300,689,2011
35380,2328,2011
35620,21539,2011
35660,136,2011
35840,2385,2011
35980,209,2011
36100,361,2011
36140,452,2011
36220,740,2011
36260,1849,2011
36420,3261,2011
36500,1028,2011
36540,3133,2011
36740,6505,2011
36780,385,2011
36980,278,2011
37100,568,2011
37340,882,2011
37380,152,2011
37460,343,2011
