GEOID,NAME,B25064_001,year
35967,ZCTA5 35967,537,2013
35968,ZCTA5 35968,512,2013
35971,ZCTA5 35971,557,2013
35972,ZCTA5 35972,NA,2013
35973,ZCTA5 35973,672,2013
35974,ZCTA5 35974,401,2013
35975,ZCTA5 35975,NA,2013
35976,ZCTA5 35976,617,2013
35978,ZCTA5 35978,516,2013
35979,ZCTA5 35979,NA,2013
35980,ZCTA5 35980,529,2013
35981,ZCTA5 35981,246,2013
35983,ZCTA5 35983,635,2013
35984,ZCTA5 35984,626,2013
35986,ZCTA5 35986,511,2013
35987,ZCTA5 35987,569,2013
35988,ZCTA5 35988,579,2013
35989,ZCTA5 35989,623,2013
35990,ZCTA5 35990,NA,2013
36003,ZCTA5 36003,665,2013
36005,ZCTA5 36005,633,2013
36006,ZCTA5 36006,508,2013
36009,ZCTA5 36009,466,2013
36010,ZCTA5 36010,526,2013
36013,ZCTA5 36013,NA,2013
36016,ZCTA5 36016,458,2013
36017,ZCTA5 36017,493,2013
36020,ZCTA5 36020,1063,2013
36022,ZCTA5 36022,725,2013
36024,ZCTA5 36024,743,2013
36025,ZCTA5 36025,882,2013
36026,ZCTA5 36026,NA,2013
36027,ZCTA5 36027,604,2013
36028,ZCTA5 36028,514,2013
36029,ZCTA5 36029,NA,2013
36030,ZCTA5 36030,NA,2013
36031,ZCTA5 36031,NA,2013
36032,ZCTA5 36032,588,2013
36033,ZCTA5 36033,563,2013
36034,ZCTA5 36034,756,2013
36035,ZCTA5 36035,672,2013
36036,ZCTA5 36036,912,2013
36037,ZCTA5 36037,573,2013
36038,ZCTA5 36038,NA,2013
36039,ZCTA5 36039,NA,2013
36040,ZCTA5 36040,549,2013
36041,ZCTA5 36041,NA,2013
36042,ZCTA5 36042,668,2013
36043,ZCTA5 36043,854,2013
36046,ZCTA5 36046,617,2013
36047,ZCTA5 36047,NA,2013
36048,ZCTA5 36048,625,2013
36049,ZCTA5 36049,468,2013
36051,ZCTA5 36051,692,2013
36052,ZCTA5 36052,558,2013
36053,ZCTA5 36053,448,2013
36054,ZCTA5 36054,834,2013
36064,ZCTA5 36064,950,2013
36066,ZCTA5 36066,923,2013
36067,ZCTA5 36067,744,2013
36069,ZCTA5 36069,670,2013
36071,ZCTA5 36071,487,2013
36075,ZCTA5 36075,600,2013
36078,ZCTA5 36078,613,2013
36079,ZCTA5 36079,686,2013
36080,ZCTA5 36080,667,2013
36081,ZCTA5 36081,540,2013
36082,ZCTA5 36082,NA,2013
36083,ZCTA5 36083,596,2013
36088,ZCTA5 36088,547,2013
36089,ZCTA5 36089,518,2013
36091,ZCTA5 36091,659,2013
36092,ZCTA5 36092,747,2013
36093,ZCTA5 36093,853,2013
36104,ZCTA5 36104,574,2013
36105,ZCTA5 36105,690,2013
36106,ZCTA5 36106,916,2013
36107,ZCTA5 36107,694,2013
36108,ZCTA5 36108,625,2013
36109,ZCTA5 36109,889,2013
36110,ZCTA5 36110,791,2013
36111,ZCTA5 36111,846,2013
36112,ZCTA5 36112,1346,2013
36113,ZCTA5 36113,1240,2013
36115,ZCTA5 36115,1209,2013
36116,ZCTA5 36116,836,2013
36117,ZCTA5 36117,882,2013
36201,ZCTA5 36201,526,2013
36203,ZCTA5 36203,766,2013
36205,ZCTA5 36205,399,2013
36206,ZCTA5 36206,626,2013
36207,ZCTA5 36207,688,2013
36250,ZCTA5 36250,635,2013
36251,ZCTA5 36251,398,2013
36255,ZCTA5 36255,NA,2013
36256,ZCTA5 36256,525,2013
36258,ZCTA5 36258,483,2013
36260,ZCTA5 36260,687,2013
36262,ZCTA5 36262,725,2013
36263,ZCTA5 36263,651,2013
36264,ZCTA5 36264,497,2013
36265,ZCTA5 36265,552,2013
36266,ZCTA5 36266,391,2013
36267,ZCTA5 36267,NA,2013
36268,ZCTA5 36268,608,2013
36269,ZCTA5 36269,633,2013
36271,ZCTA5 36271,719,2013
36272,ZCTA5 36272,555,2013
36273,ZCTA5 36273,636,2013
36274,ZCTA5 36274,594,2013
36276,ZCTA5 36276,621,2013
36277,ZCTA5 36277,620,2013
36278,ZCTA5 36278,441,2013
36279,ZCTA5 36279,613,2013
36280,ZCTA5 36280,714,2013
