eventid,eventtype,start_year,start_month,start_day,end_year,end_month,end_day,eventagency,borough,category,subcategoryname,zipcode,zip_count_by_year,zip_count_by_month,zip_count_total
753376,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Brooklyn,Music Video,Signed Artist,11215,26,4,917
753374,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Brooklyn,Music Video,Signed Artist,11215,26,4,917
753372,Shooting Permit,2023,12,17,2023,12,17,Mayor's Office of Media & Entertainment,Brooklyn,Music Video,Signed Artist,11215,26,4,917
753366,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10036,332,23,4309
753366,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10105,217,11,1013
753362,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
753330,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Brooklyn,Film,Short,10002,154,4,2217
753330,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Brooklyn,Film,Short,10013,244,14,3065
753330,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Brooklyn,Film,Short,11213,8,1,143
753330,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Brooklyn,Film,Short,11237,113,4,1860
753328,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10036,332,23,4309
753328,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10105,217,11,1013
753327,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10036,332,23,4309
753327,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10105,217,11,1013
753304,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10028,36,4,493
753303,Shooting Permit,2023,12,17,2023,12,17,Mayor's Office of Media & Entertainment,Brooklyn,WEB,Not Applicable,11222,607,61,9543
753302,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10023,78,8,1593
753302,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10024,49,6,880
753302,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10025,35,4,742
753302,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10028,36,4,493
753302,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10035,8,1,252
753302,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10075,40,2,502
753294,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Queens,Television,Cable-episodic,11101,376,36,7113
753271,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10013,244,14,3065
753250,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11222,607,61,9543
753248,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
753247,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753241,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753237,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Bronx,Television,Episodic series,10454,46,10,802
753233,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Bronx,Television,Episodic series,10454,46,10,802
753232,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753230,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Bronx,Television,Episodic series,10454,46,10,802
753228,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10001,138,12,2283
753228,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10016,63,12,1155
753219,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10003,88,2,2429
753219,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10012,101,2,2300
753212,Shooting Permit,2023,12,14,2023,12,15,Mayor's Office of Media & Entertainment,Queens,Film,Feature,11101,376,36,7113
753211,Shooting Permit,2023,12,13,2023,12,14,Mayor's Office of Media & Entertainment,Queens,Film,Feature,11101,376,36,7113
753203,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10019,134,7,2785
753203,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10036,332,23,4309
753201,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11211,69,5,1811
753201,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11222,607,61,9543
753201,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11249,69,6,1756
753186,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10013,244,14,3065
753152,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Brooklyn,Commercial,Promo,11201,88,6,2701
753138,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753137,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11101,376,36,7113
753137,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753137,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11378,18,8,503
753116,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
753109,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Bronx,Television,Episodic series,10454,46,10,802
753106,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Bronx,Television,Episodic series,10454,46,10,802
753035,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10065,61,3,1046
753011,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753003,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Brooklyn,Commercial,Industrial/Corporate,11249,69,6,1756
753002,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
752994,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10065,61,3,1046
752990,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Brooklyn,Commercial,Industrial/Corporate,11249,69,6,1756
752981,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11101,376,36,7113
752981,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11222,607,61,9543
752977,Shooting Permit,2023,12,23,2023,12,25,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10022,78,1,1662
752976,Shooting Permit,2023,12,15,2023,12,16,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
752973,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
752960,Shooting Permit,2023,12,12,2023,12,13,Mayor's Office of Media & Entertainment,Queens,Film,Feature,11101,376,36,7113
752955,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10004,55,2,710
752955,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10005,62,1,852
752955,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10006,16,3,248
752955,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10038,91,3,1086
752951,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11238,50,3,833
752937,Shooting Permit,2023,12,10,2023,12,10,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10036,332,23,4309
752937,Shooting Permit,2023,12,10,2023,12,10,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10105,217,11,1013
752936,Shooting Permit,2023,12,9,2023,12,9,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10036,332,23,4309
752936,Shooting Permit,2023,12,9,2023,12,9,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10105,217,11,1013
752913,Shooting Permit,2023,12,10,2023,12,10,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11237,113,4,1860
752879,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
752870,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11238,50,3,833
752868,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Queens,Television,Cable-episodic,11101,376,36,7113
752866,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11222,607,61,9543
752863,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10001,138,12,2283
752863,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10016,63,12,1155
752861,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10013,244,14,3065
752855,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Brooklyn,WEB,Not Applicable,11231,111,3,1296
752845,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11201,88,6,2701
752841,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Manhattan,Theater,Theater,10036,332,23,4309
752826,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Manhattan,Commercial,Commercial,10011,146,12,3256
752807,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Queens,Commercial,Commercial,11101,376,36,7113
752798,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
752796,Shooting Permit,2023,12,11,2023,12,12,Mayor's Office of Media & Entertainment,Queens,Film,Feature,11101,376,36,7113
752790,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11215,26,4,917
752780,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
752778,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Still Photography,Not Applicable,10013,244,14,3065
752773,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Brooklyn,Television,Cable-episodic,11222,607,61,9543
752769,Shooting Permit,2023,12,8,2023,12,8,Mayor's Office of Media & Entertainment,Bronx,Television,Episodic series,10454,46,10,802
752768,Shooting Permit,2023,12,7,2023,12,7,Mayor's Office of Media & Entertainment,Bronx,Television,Episodic series,10454,46,10,802
752767,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Brooklyn,Still Photography,Not Applicable,11222,607,61,9543
752748,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10033,23,4,382
752748,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10040,2,1,138
752739,Shooting Permit,2023,12,15,2023,12,15,Mayor's Office of Media & Entertainment,Manhattan,Television,Not Applicable,10128,22,1,491
752736,Shooting Permit,2023,12,9,2023,12,9,Mayor's Office of Media & Entertainment,Brooklyn,Commercial,Commercial,11201,88,6,2701
752730,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Brooklyn,Commercial,Commercial,11226,51,1,829
752727,Shooting Permit,2023,12,10,2023,12,10,Mayor's Office of Media & Entertainment,Queens,Commercial,Commercial,11362,2,1,39
752718,Shooting Permit,2023,12,8,2023,12,8,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
752714,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10001,138,12,2283
752714,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10016,63,12,1155
752712,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10001,138,12,2283
752712,Shooting Permit,2023,12,12,2023,12,12,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10016,63,12,1155
752711,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10001,138,12,2283
752711,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10016,63,12,1155
752706,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10002,154,4,2217
752706,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10014,84,2,2233
752706,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,10038,91,3,1086
752706,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,11201,88,6,2701
752706,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Film,Feature,11211,69,5,1811
752685,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10024,49,6,880
752669,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10021,57,2,873
752669,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10023,78,8,1593
752669,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10024,49,6,880
752669,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10025,35,4,742
752669,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10028,36,4,493
752669,Shooting Permit,2023,12,13,2023,12,13,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10075,40,2,502
752659,Shooting Permit,2023,12,14,2023,12,14,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10065,61,3,1046
752648,Shooting Permit,2023,12,7,2023,12,7,Mayor's Office of Media & Entertainment,Queens,Television,Cable-episodic,11105,36,9,557
752644,Shooting Permit,2023,12,11,2023,12,11,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11201,88,6,2701
