"EventID","EventType","StartDateTime","EndDateTime","EnteredOn","EventAgency","ParkingHeld","Borough","CommunityBoard(s)","PolicePrecinct(s)","Category","SubCategoryName","Country","ZipCode(s)"
"814666","Shooting Permit",,"10/11/2024 02:00:00 AM","10/04/2024 09:34:49 AM","Mayor's Office of Media & Entertainment","2 AVENUE between EAST   64 STREET and EAST   65 STREET,  EAST   64 STREET between 1 AVENUE and 2 AVENUE,  EAST   66 STREET between 2 AVENUE and 3 AVENUE,  EAST   65 STREET between 2 AVENUE and 3 AVENUE,  3 AVENUE between EAST   64 STREET and EAST   65 STREET,  EAST   65 STREET between THIRD AVENUE and PARK AVENUE,  LEXINGTON AVENUE between EAST   64 STREET and EAST   66 STREET,  EAST   56 STREET between 3 AVENUE and 2 AVENUE,  TUDOR CITY PLACE between EAST   41 STREET and EAST   43 STREET,  TUDOR CITY PLACE between EAST   41 STREET and DEAD END,  EAST   41 STREET between TUDOR CITY PLACE and 2 AVENUE,  EAST   42 STREET between 1 AVENUE and 2 AVENUE,  PARK AVENUE between EAST   35 STREET and EAST   38 STREET,  PARK AVENUE between EAST   34 STREET and EAST   35 STREET,  EAST   36 STREET between MADISON AVENUE and LEXINGTON AVENUE,  EAST   43 STREET between 3 AVENUE and LEXINGTON AVENUE","Manhattan","6, 8,","17, 19,","Television","Cable-episodic","United States of America","10016, 10017, 10022, 10065,"
"814664","Shooting Permit","10/09/2024 07:00:00 AM","10/09/2024 09:00:00 PM","10/04/2024 09:28:16 AM","Mayor's Office of Media & Entertainment","WEST   43 STREET between 7 AVENUE and 8 AVENUE,  WEST   44 STREET between 7 AVENUE and 8 AVENUE,  WEST   44 STREET between 8 AVENUE and 9 AVENUE,  9 AVENUE between WEST   45 STREET and WEST   46 STREET,  WEST   46 STREET between 9 AVENUE and 10 AVENUE,  WEST   45 STREET between 9 AVENUE and 10 AVENUE,  WEST   45 STREET between 8 AVENUE and 9 AVENUE","Manhattan","4, 5,","14, 18,","Television","Cable-episodic","United States of America","10036,"
"814658","Shooting Permit","10/08/2024 06:30:00 AM","10/08/2024 10:30:00 PM","10/04/2024 09:00:15 AM","Mayor's Office of Media & Entertainment","JAMES STREET between ST JAMES PLACE and MADISON STREET,  MADISON STREET between ST JAMES PLACE and OLIVER STREET,  OLIVER STREET between ST JAMES PLACE and MADISON STREET,  MARKET STREET between HENRY STREET and MADISON STREET,  ST JAMES PLACE between PEARL STREET and OLIVER STREET,  MADISON STREET between MARKET STREET and MECHANICS ALLEY,  CHERRY STREET between MARKET STREET and RUTGERS STREET,  MARKET STREET between CHERRY STREET and WATER STREET,  SOUTH STREET between CATHERINE SLIP and MARKET STREET,  MADISON STREET between CATHERINE STREET and MARKET STREET,  MADISON STREET between MARKET STREET and PIKE STREET,  PIKE STREET between MADISON STREET and MONROE STREET","Manhattan","3,","5, 7,","Television","Cable-episodic","United States of America","10002, 10038,"
"814656","Shooting Permit","10/09/2024 06:00:00 AM","10/09/2024 09:00:00 PM","10/04/2024 08:45:16 AM","Mayor's Office of Media & Entertainment","WESTMINSTER ROAD between ALBEMARLE ROAD and CHURCH AVENUE,  STRATFORD RD between ALBEMARLE AVENUE and CHURCH AVENUE","Brooklyn","14,","70,","WEB","Not Applicable","United States of America","11218,"
"814655","Shooting Permit","10/06/2024 02:00:00 AM",,"10/04/2024 08:36:22 AM","Mayor's Office of Media & Entertainment","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5,","18,","Television","News","United States of America","10036, 10105,"
"814653","Shooting Permit","10/05/2024 05:00:00 PM","10/05/2024 11:59:00 PM","10/04/2024 08:20:34 AM","Mayor's Office of Media & Entertainment","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5,","18,","Television","News","United States of America","10036, 10105,"
"814651","Shooting Permit","10/06/2024 02:00:00 PM","10/06/2024 11:59:00 PM","10/04/2024 03:44:05 AM","Mayor's Office of Media & Entertainment","JEROME AVENUE between ANDERSON AVENUE and EAST  161 STREET","Bronx","4,","44,","Film","Feature","United States of America","10452,"
"814637","Shooting Permit","10/08/2024 04:00:00 AM","10/08/2024 06:00:00 PM","10/03/2024 10:26:32 PM","Mayor's Office of Media & Entertainment","EXCHANGE PLACE between HANOVER STREET and WILLIAM STREET,  WEST   31 STREET between BROADWAY and 5 AVENUE","Manhattan","1, 5,","1, 14,","Commercial","Commercial","United States of America","10001, 10004, 10005,"
"814636","Shooting Permit","10/08/2024 06:00:00 AM","10/08/2024 08:00:00 PM","10/03/2024 10:21:09 PM","Mayor's Office of Media & Entertainment","EAST   19 STREET between DORCHESTER ROAD and DITMAS AVENUE","Brooklyn","14,","70,","Commercial","Commercial","United States of America","11226,"
"814633","Shooting Permit","10/08/2024 10:00:00 AM","10/08/2024 10:00:00 PM","10/03/2024 10:02:54 PM","Mayor's Office of Media & Entertainment","ARGYLE ROAD between CORTELYOU ROAD and BEVERLY ROAD","Brooklyn","14,","70,","WEB","Not Applicable","United States of America","11218, 11230,"
